split,ml_label,n_samples
test,bowl,28
test,dish_body,19
test,dish_body_with_ring_base,23
test,dish_cap,58
test,iberian_vessel_complete,30
test,iberian_vessel_fragment,29640
test,plate,9
train,bowl,130
train,dish_body,91
train,dish_body_with_ring_base,108
train,dish_cap,274
train,iberian_vessel_complete,140
train,iberian_vessel_fragment,138320
train,plate,40
val,bowl,28
val,dish_body,19
val,dish_body_with_ring_base,23
val,dish_cap,58
val,iberian_vessel_complete,30
val,iberian_vessel_fragment,29640
val,plate,9
