vessel_id,n_samples
AL_03D,989
LP_03_2,989
GU_023,989
GU_025,989
GU_033,989
GU_038,989
GU_039,989
GU_040,989
GU_046,989
GU_051,989
GU_065,989
GU_068,989
LP_07_2,989
AL_03H,989
LP_09_4,989
LP_15_1,989
MB_15,989
MB_19,989
MB_28,989
PN_10_5,989
PN_12_3,989
PN_14_3,989
PN_1_1,989
PN_20_1,989
GU_016,989
GU_012,989
GU_003,989
GI_04,989
CC_10_10,989
CC_10_12,989
CC_10_2,989
CC_10_9,989
CC_11_1,989
CC_11_4,989
CC_13_3,989
CC_14_6,989
CC_16_1,989
CC_16_3,989
CC_18_4,989
CC_21_4,989
CG_29,989
CG_31,989
EL_02_1,989
EL_02_4,989
EL_03_1,989
EL_03_3,989
ER_04,989
ER_22,989
GI_01,989
PN_21_3,989
PN_22_3,989
PN_23_1,989
PO_07,989
TO_4_1,989
TO_4_2,989
TO_4_4,989
TO_4_5,989
TO_4_7,989
TU_04,989
TU_06,989
TU_08,989
TU_102_1,989
TU_110_2,989
TU_11_5,989
TU_13,989
TU_19_1,989
TU_19_14,989
TU_19_2,989
TU_19_4,989
TU_19_9,989
TU_26_4,989
TU_29_2,989
TU_66_1,989
TU_96_2,989
PO_09,989
PO_019,989
PN_23_6,989
PO_018,989
PN_24_2,989
PN_27_4,989
PN_3_1,989
PN_40_1,989
PN_44_10,989
PN_45_11,989
PN_45_13,989
PN_56_30,989
PN_5_2,989
PN_6_2,989
PN_6_3,989
PN_71_58,989
PN_72_60,989
PN_73_61,989
PN_73_62,989
PN_79_78,989
PN_8_1,989
PN_8_2,989
PN_9_1,989
PO_010,989
PO_015,989
CC_09_1,989
CC_08_4,989
CC_08_1,989
BA_120_3,989
BA_124_2,989
BA_125_1,989
BA_137_3,989
BA_137_5,989
BA_138_3,989
BA_140_1,989
BA_147_1,989
BA_156_1,989
BA_156_2,989
BA_164_1,989
BA_169_1,989
BA_177_1,989
BA_182_1,989
BA_186_1,989
BA_187_2,989
BA_202_1,989
BA_206_7,989
BA_208_5,989
BA_209_3,989
BA_218_2,989
BA_22_1,989
BA_123_1,989
BA_11_2,989
BA_30_5,989
BA_11_1,989
AL_03I,989
AL_06B,989
AL_06G,989
AL_06I,989
AL_09A,989
AL_10A,989
AL_11C,989
AL_11E,989
AL_12D,989
AT_004,989
AT_011,989
AT_017,989
AT_026,989
BA_102_2,989
BA_104_1,989
BA_106_1,989
BA_111_4,989
BA_113_6,989
BA_115_3,989
BA_116_1,989
BA_117_1,989
BA_30_4,989
BA_33_1,989
CC_06_4,989
BA_98_2,989
BO11a_2,989
BO14_1,989
BO21_1,989
BO29_1,989
BO29_3,989
BO29_5,989
BO30_2,989
BO4_2,989
BO9_1,989
BO9_3,989
CA_4_1,989
CA_5_1,989
CC_02_1,989
CC_02_2,989
CC_02_5,989
CC_03_5,989
CC_04_4,989
CC_04_8,989
CC_05_5,989
CC_06_2,989
CC_06_3,989
BA_99_2,989
BA_93_1,989
BA_33_4,989
BA_91_3,989
BA_34_2,989
BA_36a_2,989
BA_40_2,989
BA_40_3,989
BA_44_1,989
BA_45_2,989
BA_58_1,989
BA_59_1,989
BA_59_2,989
BA_64_2,989
BA_66_4,989
BA_68_2,989
BA_69_2,989
BA_70_2,989
BA_73_1,989
BA_78_1,989
BA_79_2,989
BA_82_2,989
BA_86_3,989
BA_87bis_1,989
BA_90_1,989
TU_96_5,989
